Country Name,Country ISO-3 Code,"Physicians per 1,000 People",Air Pollution,Secondary School Enrollment,Disease Mortality,Traffic Deaths,Region,"Physicians per 1,000 People_Norm",Air Pollution_Norm,Secondary School Enrollment_Norm,Disease Mortality_Norm,Traffic Deaths_Norm
American Samoa,ASM,0.77,6.43,46.3,30.8,18.95,Other,0.162046908315565,0.9858619460615421,0.46464849642964895,0.6227544910179641,0.5693181818181818
Antigua and Barbuda,ATG,0.29,19.28,70.69,13.51,9.2,Other,0.059701492537313425,0.8331947249613877,0.7099466961681585,0.8478260869565217,0.7909090909090909
Australia,AUS,1.1,7.76,87.3,4.37,9.9,Other,0.232409381663113,0.9700605916597362,0.876998893694056,0.9668055193959906,0.775
Austria,AUT,1.2,23.36,68.61,2.67,12.5,Other,0.25373134328358204,0.7847213971723892,0.6890274565020618,0.9889351731319969,0.7159090909090908
Azerbaijan,AZE,3.36,19.37,88.53,18.76,8.2,Other,0.7142857142857142,0.8321254603778068,0.8893694056119883,0.7794845092423848,0.8136363636363637
Burundi,BDI,0.01,29.42,2.05,62.78,30.3,Other,0.0,0.7127242485446121,0.019611787186965702,0.20645665191356422,0.3113636363636364
Belgium,BEL,1.3,23.14,78.01,7.51,16.7,Other,0.27505330490405117,0.7873351550433647,0.783566328069999,0.9259307472012497,0.6204545454545455
Benin,BEN,0.04,56.75,17.44,63.58,28.4,Other,0.006396588486140724,0.3880242366638945,0.17439404606255657,0.19604269721426726,0.3545454545454546
Burkina Faso,BFA,0.01,57.1,2.47,73.13,27.6,Other,0.0,0.38386598550552453,0.023835864427235242,0.07172611299140852,0.3727272727272727
Bangladesh,BGD,0.12,53.18,16.52,50.25,10.8,Other,0.02345415778251599,0.43043839847926824,0.16514130544101374,0.36956521739130443,0.7545454545454545
Bulgaria,BGR,1.4,27.26,84.37,3.21,13.0,Other,0.29637526652452023,0.7383865985505524,0.8475309262797949,0.9819057537099714,0.7045454545454546
Bahrain,BHR,0.45,68.59,44.5,6.12,12.0,Other,0.09381663113006396,0.24735654033503618,0.44654530825706523,0.9440249934912783,0.7272727272727273
"Bahamas, The",BHS,0.5,19.1,90.35,29.16,25.6,Other,0.1044776119402985,0.8353332541285494,0.907673740319823,0.644103098151523,0.4181818181818181
Bosnia and Herzegovina,BIH,1.03,35.7,46.3,3.16,19.0,Other,0.21748400852878463,0.6381133420458596,0.46464849642964895,0.9825566258786774,0.5681818181818181
Belarus,BLR,2.91,32.87,94.91,2.36,17.8,Other,0.6183368869936035,0.6717357728406796,0.9535351503570351,0.9929705805779745,0.5954545454545455
Belize,BLZ,0.24,28.41,55.28,20.12,29.5,Other,0.049040511727078885,0.7247237733159082,0.5549632907573167,0.7617807862535798,0.3295454545454546
Bermuda,BMU,1.2,9.09,62.85,30.8,18.95,Other,0.25373134328358204,0.9542592372579304,0.6310972543497938,0.6227544910179641,0.5693181818181818
Bolivia,BOL,0.27,82.79,62.39,38.27,14.5,Other,0.05543710021321961,0.07865035048116897,0.6264708840390224,0.5255141890132777,0.6704545454545454
Brazil,BRA,0.37,15.36,73.18,18.01,19.7,Other,0.07675906183368869,0.8797671379351313,0.7349894398068993,0.7892475917729758,0.5522727272727272
Barbados,BRB,0.33,23.72,80.45,15.94,14.6,Other,0.06823027718550106,0.7804443388380659,0.8081062053706125,0.816193699557407,0.6681818181818182
Brunei Darussalam,BRN,0.3,8.37,49.52,9.53,15.9,Other,0.06183368869936033,0.9628133539265772,0.49703308860504875,0.8996355115855246,0.6386363636363637
Bhutan,BTN,0.12,31.94,17.79,40.67,11.7,Other,0.02345415778251599,0.6827848402043484,0.17791411042944782,0.49427232491538664,0.7340909090909091
Botswana,BWA,0.04,19.67,6.89,65.79,31.8,Other,0.006396588486140724,0.8285612450992039,0.06828924871769083,0.16727414735745905,0.2772727272727272
Central African Republic,CAF,0.02,32.83,3.99,67.16,32.3,Other,0.0021321961620469083,0.6722110015444933,0.03912300110630594,0.14944024993491278,0.265909090909091
Canada,CAN,1.1,10.55,91.26,4.55,9.8,Other,0.232409381663113,0.9369133895687299,0.9168259076737404,0.9644623795886488,0.7772727272727272
Central Europe and the Baltics,CEB,2.41,27.02,80.33,3.62,15.99,Other,0.511727078891258,0.7412379707734347,0.8068993261591069,0.9765686019265816,0.6365909090909091
Switzerland,CHE,1.4,19.48,79.04,5.38,8.5,Other,0.29637526652452023,0.8308185814423191,0.793925374635422,0.9536579015881281,0.8068181818181819
Channel Islands,CHI,1.02,29.93,46.3,30.8,18.95,Other,0.21535181236673773,0.7066650825709873,0.46464849642964895,0.6227544910179641,0.5693181818181818
Chile,CHL,0.56,27.02,86.66,10.85,17.9,Other,0.11727078891257996,0.7412379707734347,0.8705622045660263,0.8824524863316845,0.5931818181818183
China,CHN,1.07,49.3,46.3,9.45,21.4,Other,0.2260127931769723,0.47653558274919816,0.46464849642964895,0.9006769070554543,0.5136363636363637
Cote d'Ivoire,CIV,0.03,50.62,30.17,69.48,25.4,Other,0.004264392324093816,0.46085303552334567,0.3024238157497737,0.11923978130695123,0.42272727272727273
Cameroon,CMR,0.03,43.72,6.87,65.89,27.4,Other,0.004264392324093816,0.5428299869312108,0.06808810218243991,0.1659724030200469,0.3772727272727273
"Congo, Dem. Rep.",COD,0.02,24.58,16.49,70.07,38.1,Other,0.0021321961620469083,0.7702269217060711,0.16483958563813733,0.11155948971621987,0.13409090909090904
"Congo, Rep.",COG,0.06,24.22,17.23,61.39,26.3,Other,0.01066098081023454,0.7745039800403944,0.17228200744242178,0.22455089820359286,0.4022727272727272
Colombia,COL,0.35,26.47,63.65,14.16,20.0,Other,0.07249466950959486,0.7477723654508732,0.639143115759831,0.8393647487633429,0.5454545454545454
Comoros,COM,0.08,10.55,44.42,55.62,26.9,Other,0.014925373134328358,0.9369133895687299,0.4457407221160615,0.29966154647227294,0.38863636363636367
Cabo Verde,CPV,0.08,42.97,9.57,33.47,22.9,Other,0.014925373134328358,0.5517405251277178,0.0952428844413155,0.5879979172090601,0.4795454545454546
Costa Rica,CRI,0.39,20.72,22.11,8.94,17.8,Other,0.0810234541577825,0.8160864916240941,0.22136176204364877,0.9073158031762563,0.5954545454545455
Caribbean small states,CSS,0.65,24.25,48.13,18.63,19.35,Other,0.13646055437100213,0.7741475585125341,0.4830534044051091,0.7811767768810206,0.5602272727272727
Cuba,CUB,0.95,20.92,20.53,8.83,15.8,Other,0.20042643923240935,0.8137103481050255,0.20547118575882528,0.9087477219474095,0.6409090909090909
Cayman Islands,CYM,1.7,29.93,46.3,30.8,18.95,Other,0.3603411513859275,0.7066650825709873,0.46464849642964895,0.6227544910179641,0.5693181818181818
Cyprus,CYP,1.52,19.5,51.23,4.11,12.3,Other,0.3219616204690831,0.8305809670904123,0.5142311173690033,0.9701900546732621,0.7204545454545455
Czechia,CZE,1.8,25.72,88.48,3.06,14.9,Other,0.38166311300639655,0.7566829036473803,0.8888665392738611,0.9838583702160896,0.6613636363636364
Germany,DEU,2.76,22.53,89.58,4.01,9.6,Other,0.5863539445628997,0.7945823927765236,0.8999295987126622,0.9714917990106743,0.7818181818181819
Djibouti,DJI,0.16,37.2,9.09,60.28,27.5,Other,0.03198294243070362,0.6202922656528455,0.09041536759529317,0.23900026034886757,0.375
Dominica,DMA,0.13,20.48,82.08,30.8,15.3,Other,0.0255863539445629,0.8189378638469764,0.8244996479935633,0.6227544910179641,0.6522727272727273
Denmark,DNK,2.49,18.39,87.98,3.75,9.6,Other,0.5287846481876333,0.8437685636212428,0.8838378758925878,0.9748763342879458,0.7818181818181819
Dominican Republic,DOM,0.12,17.76,39.66,34.9,29.4,Other,0.02345415778251599,0.8512534157063086,0.39786784672634007,0.5693829731840667,0.3318181818181819
Algeria,DZA,0.17,22.36,9.77,19.39,22.5,Other,0.03411513859275053,0.796602114767732,0.09725434979382479,0.7712835199166884,0.48863636363636365
East Asia & Pacific (excluding high income),EAP,0.87,44.63,60.99,16.52,20.79,Other,0.1833688699360341,0.5320185339194488,0.6123906265714573,0.8086435824004166,0.5275000000000001
Early-demographic dividend,EAR,0.86,48.36,41.52,43.46,16.83,Other,0.1812366737739872,0.48770345728882025,0.41657447450467666,0.45795365790158815,0.6175
Europe & Central Asia (excluding high income),ECA,2.88,27.28,79.97,8.73,12.02,Other,0.6119402985074627,0.7381489841986456,0.8032786885245902,0.9100494662848216,0.7268181818181818
Ecuador,ECU,0.4,46.99,46.13,23.14,13.5,Other,0.08315565031982942,0.5039800403944399,0.46293875088001607,0.7224681072637335,0.6931818181818181
"Egypt, Arab Rep.",EGY,0.39,57.43,26.39,20.87,11.2,Other,0.0810234541577825,0.3799453486990615,0.26440712058734783,0.7520177037229888,0.7454545454545455
Eritrea,ERI,0.02,42.71,15.99,51.3,31.3,Other,0.0021321961620469083,0.5548295117025068,0.1598109222568641,0.3558969018484771,0.2886363636363636
Spain,ESP,2.05,16.43,46.04,4.92,15.4,Other,0.43496801705756927,0.8670547701081146,0.46203359147138684,0.9596459255402239,0.6499999999999999
Estonia,EST,2.94,14.17,83.76,3.03,17.7,Other,0.6247334754797441,0.8939051918735892,0.8413959569546415,0.9842488935173133,0.5977272727272727
Ethiopia,ETH,0.01,26.02,10.97,66.67,24.6,Other,0.0,0.7531186883687775,0.10932314190888062,0.15581879718823222,0.4409090909090909
Fragile and conflict affected situations,FCS,0.71,41.72,22.2,58.16,25.51,Other,0.14925373134328357,0.5665914221218962,0.22226692145227794,0.2665972403020048,0.42022727272727267
Finland,FIN,3.0,9.25,70.42,6.91,8.1,Other,0.6375266524520256,0.9523583224426755,0.707231217942271,0.9337412132257225,0.8159090909090909
Fiji,FJI,0.5,10.17,75.58,12.46,9.7,Other,0.1044776119402985,0.9414280622549602,0.7591270240370109,0.8614944024993492,0.7795454545454545
France,FRA,1.2,18.31,76.26,6.6,13.4,Other,0.25373134328358204,0.8447190210288702,0.7659660062355427,0.9377766206717001,0.6954545454545454
"Micronesia, Fed. Sts.",FSM,0.45,12.44,46.3,24.15,14.9,Other,0.09381663113006396,0.9144588333135322,0.46464849642964895,0.7093204894558709,0.6613636363636364
Gabon,GAB,0.12,27.25,46.3,51.11,21.2,Other,0.02345415778251599,0.7385054057265059,0.46464849642964895,0.3583702160895601,0.5181818181818182
United Kingdom,GBR,0.8,18.66,70.2,11.66,6.9,Other,0.16844349680170576,0.8405607698705002,0.7050186060545107,0.8719083571986462,0.8431818181818181
Georgia,GEO,3.2,16.81,73.63,4.57,11.8,Other,0.6801705756929638,0.8625400974218843,0.7395152368500452,0.9642020307211664,0.7318181818181818
Ghana,GHA,0.05,60.85,31.74,64.1,25.8,Other,0.008528784648187633,0.3393132945229892,0.3182138187669717,0.18927362665972414,0.4136363636363636
Gibraltar,GIB,0.82,29.93,89.36,30.8,18.95,Other,0.17270788912579954,0.7066650825709873,0.897716986824902,0.6227544910179641,0.5693181818181818
Guinea,GIN,0.04,48.86,7.97,71.42,31.1,Other,0.006396588486140724,0.48176309849114896,0.07915116162124107,0.09398594116115588,0.2931818181818181
"Gambia, The",GMB,0.04,61.22,7.61,64.2,25.7,Other,0.006396588486140724,0.3349174290127124,0.07553052398672433,0.187971882322312,0.4159090909090909
Guinea-Bissau,GNB,0.04,57.08,2.7,68.43,30.7,Other,0.006396588486140724,0.3841035998574315,0.026149049582620938,0.13290809684977856,0.30227272727272725
Equatorial Guinea,GNQ,0.17,36.07,17.65,63.91,22.1,Other,0.03411513859275053,0.6337174765355829,0.1765060846826913,0.19174694090080724,0.4977272727272727
Greece,GRC,1.3,24.24,50.39,3.92,19.9,Other,0.27505330490405117,0.7742663656884876,0.5057829628884642,0.9726633689143452,0.5477272727272728
Grenada,GRD,0.22,24.23,22.74,14.42,4.9,Other,0.04477611940298507,0.774385172864441,0.22769787790405305,0.8359802134860713,0.8886363636363637
Greenland,GRL,1.17,7.55,46.3,30.8,18.95,Other,0.24733475479744133,0.9725555423547583,0.46464849642964895,0.6227544910179641,0.5693181818181818
Guatemala,GTM,0.18,40.93,7.4,44.6,6.8,Other,0.03624733475479743,0.575977189022217,0.07341848536658956,0.44311377245508987,0.8454545454545455
Guam,GUM,1.19,8.95,46.3,30.8,18.95,Other,0.25159914712153514,0.9559225377212783,0.46464849642964895,0.6227544910179641,0.5693181818181818
Guyana,GUY,0.26,24.34,53.51,27.06,26.2,Other,0.053304904051172705,0.7730782939289533,0.5371618223876093,0.6714397292371779,0.40454545454545454
"Hong Kong SAR, China",HKG,0.33,29.93,33.88,30.8,18.95,Other,0.06823027718550106,0.7066650825709873,0.3397364980388213,0.6227544910179641,0.5693181818181818
Honduras,HND,0.08,32.01,24.38,29.73,15.4,Other,0.014925373134328358,0.6819531899726744,0.24419189379462936,0.6366831554282739,0.6499999999999999
Heavily indebted poor countries (HIPC),HPC,0.09,37.88,14.8,67.2,28.03,Other,0.017057569296375266,0.6122133776880123,0.14784270340943378,0.1489195521999479,0.3629545454545454
